distribution,num_days,num_samples,ratio,num_bin,solving_time,best_threshold,training_acc,training_precision_0,training_recall_1,training_inverse_weighted_f2,logistic_183_days_10000_samples_70_acc,logistic_183_days_10000_samples_70_precision_0,logistic_183_days_10000_samples_70_recall_1,logistic_183_days_10000_samples_70_inverse_weighted_f2,logistic_365_days_10000_samples_90_acc,logistic_365_days_10000_samples_90_precision_0,logistic_365_days_10000_samples_90_recall_1,logistic_365_days_10000_samples_90_inverse_weighted_f2,logistic_183_days_10000_samples_90_acc,logistic_183_days_10000_samples_90_precision_0,logistic_183_days_10000_samples_90_recall_1,logistic_183_days_10000_samples_90_inverse_weighted_f2,logistic_365_days_10000_samples_70_acc,logistic_365_days_10000_samples_70_precision_0,logistic_365_days_10000_samples_70_recall_1,logistic_365_days_10000_samples_70_inverse_weighted_f2
logistic,60,100000,90,22,0.00018271999999974753,0.1,1.0,1.0,1.0,1.0,0.967032967032967,0.9583,0.8636,0.9129,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9505494505494505,0.9302,0.8548,0.9161
logistic,60,100000,90,23,0.0001790800000023296,0.1,1.0,1.0,1.0,1.0,0.9725274725274725,0.965,0.8864,0.9277,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9505494505494505,0.9302,0.8548,0.9161
logistic,60,100000,90,24,0.0001816320000003202,0.1,1.0,1.0,1.0,1.0,0.967032967032967,0.9583,0.8636,0.9129,0.9835164835164835,0.9819,0.8462,0.8862,0.9945054945054945,0.9938,0.9565,0.9692,0.9478021978021978,0.9266,0.8468,0.9113
logistic,60,100000,90,25,0.0002149809999991703,0.1,1.0,1.0,1.0,1.0,0.9725274725274725,0.965,0.8864,0.9277,0.9835164835164835,0.9819,0.8462,0.8862,0.9945054945054945,0.9938,0.9565,0.9692,0.945054945054945,0.9231,0.8387,0.9065
logistic,60,100000,70,5,0.00022059000000140827,0.1,0.5932203389830508,0.5789,0.0769,0.4375,0.8846153846153846,0.8679,0.5227,0.6728,0.9313186813186813,0.9286,0.359,0.4732,0.9120879120879121,0.9086,0.3043,0.4327,0.7637362637362637,0.7362,0.3065,0.5525
logistic,60,100000,70,6,0.0001768630000000826,0.1,0.7796610169491526,0.7174,0.5,0.7192,0.8516483516483516,0.8364,0.3864,0.5666,0.9395604395604396,0.9366,0.4359,0.5444,0.9560439560439561,0.9521,0.6522,0.7375,0.7884615384615384,0.7571,0.379,0.6055
logistic,60,100000,70,7,0.00020858599999939997,0.1,0.7457627118644068,0.6875,0.4231,0.6715,0.9285714285714286,0.9139,0.7045,0.8051,0.9560439560439561,0.9531,0.5897,0.6797,0.9615384615384616,0.9578,0.6957,0.7724,0.8489010989010989,0.8136,0.5565,0.7283
logistic,60,100000,70,8,0.0001899559999998246,0.1,0.8135593220338984,0.75,0.5769,0.7656,0.9340659340659341,0.92,0.7273,0.8209,0.9587912087912088,0.9559,0.6154,0.7014,0.9725274725274725,0.9695,0.7826,0.8404,0.8543956043956044,0.8191,0.5726,0.7391
logistic,60,100000,70,9,0.00022598599999668068,0.1,0.8813559322033898,0.825,0.7308,0.8547,0.9395604395604396,0.9262,0.75,0.8366,0.9642857142857143,0.9615,0.6667,0.744,0.9725274725274725,0.9695,0.7826,0.8404,0.8763736263736264,0.8421,0.6371,0.7813
logistic,60,100000,70,10,0.0001923379999979602,0.1,0.8813559322033898,0.825,0.7308,0.8547,0.9505494505494505,0.9388,0.7955,0.8675,0.9725274725274725,0.9701,0.7436,0.8063,0.989010989010989,0.9876,0.913,0.9378,0.8846153846153846,0.8511,0.6613,0.7968
logistic,60,100000,70,11,0.0001874989999990362,0.1,0.9152542372881356,0.8684,0.8077,0.8975,0.945054945054945,0.9324,0.7727,0.8521,0.9697802197802198,0.9673,0.7179,0.7858,0.9835164835164835,0.9815,0.8696,0.9059,0.8983516483516484,0.8664,0.7016,0.8224
logistic,60,100000,70,12,0.00018799900000132652,0.1,0.9322033898305084,0.8919,0.8462,0.9185,0.9560439560439561,0.9452,0.8182,0.8828,0.9752747252747253,0.9731,0.7692,0.8266,0.9945054945054945,0.9938,0.9565,0.9692,0.9093406593406593,0.8791,0.7339,0.8426
logistic,60,100000,70,13,0.00020547999999820377,0.1,0.9491525423728814,0.9167,0.8846,0.9393,0.9615384615384616,0.9517,0.8409,0.8979,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9093406593406593,0.8791,0.7339,0.8426
logistic,60,100000,70,14,0.00019466799999889872,0.1,0.9322033898305084,0.8919,0.8462,0.9185,0.9560439560439561,0.9452,0.8182,0.8828,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9203296703296703,0.8922,0.7661,0.8625
logistic,60,100000,70,15,0.00024764100000140843,0.1,0.9661016949152542,0.9429,0.9231,0.9598,0.967032967032967,0.9583,0.8636,0.9129,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9230769230769231,0.8955,0.7742,0.8675
logistic,60,100000,70,16,0.00022363100000077907,0.1,0.9661016949152542,0.9429,0.9231,0.9598,0.967032967032967,0.9583,0.8636,0.9129,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9258241758241759,0.8989,0.7823,0.8724
logistic,60,100000,70,17,0.00021157200000132548,0.1,0.9661016949152542,0.9429,0.9231,0.9598,0.967032967032967,0.9583,0.8636,0.9129,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9313186813186813,0.9057,0.7984,0.8822
logistic,60,100000,70,18,0.00018658399999793573,0.1,0.9661016949152542,0.9429,0.9231,0.9598,0.967032967032967,0.9583,0.8636,0.9129,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9258241758241759,0.8989,0.7823,0.8724
logistic,60,100000,70,19,0.00028897700000030113,0.1,0.9661016949152542,0.9429,0.9231,0.9598,0.967032967032967,0.9583,0.8636,0.9129,0.9835164835164835,0.9819,0.8462,0.8862,0.9945054945054945,0.9938,0.9565,0.9692,0.9395604395604396,0.916,0.8226,0.8968
logistic,60,100000,70,20,0.00018473599999779822,0.1,0.9661016949152542,0.9429,0.9231,0.9598,0.9725274725274725,0.965,0.8864,0.9277,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9368131868131868,0.9125,0.8145,0.892
logistic,60,100000,70,21,0.00020762400000151615,0.1,0.9661016949152542,0.9429,0.9231,0.9598,0.967032967032967,0.9583,0.8636,0.9129,0.9835164835164835,0.9819,0.8462,0.8862,0.9945054945054945,0.9938,0.9565,0.9692,0.945054945054945,0.9231,0.8387,0.9065
logistic,60,100000,70,22,0.00020087100000054647,0.1,0.9661016949152542,0.9429,0.9231,0.9598,0.967032967032967,0.9583,0.8636,0.9129,0.9835164835164835,0.9819,0.8462,0.8862,0.9945054945054945,0.9938,0.9565,0.9692,0.945054945054945,0.9231,0.8387,0.9065
logistic,60,100000,70,23,0.00020386699999974667,0.1,0.9661016949152542,0.9429,0.9231,0.9598,0.9725274725274725,0.965,0.8864,0.9277,0.9835164835164835,0.9819,0.8462,0.8862,0.9945054945054945,0.9938,0.9565,0.9692,0.9505494505494505,0.9302,0.8548,0.9161
logistic,60,100000,70,24,0.0001950519999986966,0.1,0.9661016949152542,0.9429,0.9231,0.9598,0.967032967032967,0.9583,0.8636,0.9129,0.9862637362637363,0.9848,0.8718,0.9057,0.9945054945054945,0.9938,0.9565,0.9692,0.9532967032967034,0.9339,0.8629,0.9209
logistic,60,100000,70,25,0.0003031929999970373,0.1,0.9661016949152542,0.9429,0.9231,0.9598,0.9725274725274725,0.965,0.8864,0.9277,0.9835164835164835,0.9819,0.8462,0.8862,0.9945054945054945,0.9938,0.9565,0.9692,0.9532967032967034,0.9339,0.8629,0.9209
logistic,365,100000,90,5,0.0005225029999991193,0.1,0.9478021978021978,0.9463,0.3448,0.444,0.8296703296703297,0.8166,0.2955,0.4921,0.9230769230769231,0.9207,0.2821,0.3994,0.9340659340659341,0.9298,0.4783,0.591,0.7554945054945055,0.7295,0.2823,0.5344
logistic,365,100000,90,6,0.0004407220000004486,0.1,0.9478021978021978,0.9463,0.3448,0.444,0.8681318681318682,0.8519,0.4545,0.6205,0.9340659340659341,0.9312,0.3846,0.4972,0.9340659340659341,0.9298,0.4783,0.591,0.782967032967033,0.7524,0.3629,0.5938
logistic,365,100000,90,7,0.0004380760000017858,0.1,0.9642857142857143,0.9626,0.5517,0.6368,0.9010989010989011,0.8846,0.5909,0.7236,0.945054945054945,0.942,0.4872,0.5905,0.9615384615384616,0.9578,0.6957,0.7724,0.8076923076923077,0.7742,0.4355,0.6456
logistic,365,100000,90,8,0.0004630550000044309,0.1,0.9697802197802198,0.9682,0.6207,0.6973,0.9285714285714286,0.9139,0.7045,0.8051,0.9587912087912088,0.9559,0.6154,0.7014,0.978021978021978,0.9755,0.8261,0.8734,0.8598901098901099,0.8247,0.5887,0.7497
logistic,365,100000,90,9,0.00043256900000443466,0.1,0.9725274725274725,0.971,0.6552,0.7268,0.9230769230769231,0.9079,0.6818,0.7891,0.9532967032967034,0.9503,0.5641,0.6578,0.9615384615384616,0.9578,0.6957,0.7724,0.8571428571428571,0.8219,0.5806,0.7444
logistic,365,100000,90,10,0.0013895410000017705,0.1,0.9752747252747253,0.9738,0.6897,0.756,0.9395604395604396,0.9262,0.75,0.8366,0.9642857142857143,0.9615,0.6667,0.744,0.978021978021978,0.9755,0.8261,0.8734,0.8818681318681318,0.8481,0.6532,0.7917
logistic,365,100000,90,11,0.00045007599999991044,0.1,0.9862637362637363,0.9853,0.8276,0.8683,0.9505494505494505,0.9388,0.7955,0.8675,0.9697802197802198,0.9673,0.7179,0.7858,0.989010989010989,0.9876,0.913,0.9378,0.8901098901098901,0.8571,0.6774,0.8071
logistic,365,100000,90,12,0.0004278289999959384,0.1,0.9807692307692307,0.9795,0.7586,0.8129,0.945054945054945,0.9324,0.7727,0.8521,0.9697802197802198,0.9673,0.7179,0.7858,0.9835164835164835,0.9815,0.8696,0.9059,0.8983516483516484,0.8664,0.7016,0.8224
